Column1,Column2,Column3,...
2,Jacob Parker,OF,L/R,6' 3'',220,Fr.,HS,"Purvis, Miss. / Purvis HS"
3,Ace Reese,INF,L/R,6' 4'',220,Jr.,1L,"Canton, Texas / Canton HS / Houston"
4,Tomas Valincius,LHP,L/L,6' 2'',225,So.,TR,"Lockport, Ill. / Baylor School [TN] / Virginia"
5,Aidan Teel,OF,L/R,6' 0'',200,R-Jr.,TR,"Mahwah, N.J. / Mahwah HS / Virginia"
6,James Nunnallee,OF,L/R,6' 1'',190,So.,TR,"Aldie, Va. / Lightridge HS / Virginia"
7,Reed Stallman,1B/OF,L/L,6' 3'',220,Gr.,1L,"Robins, Iowa / Alburnett HS / Campbell"
8,Charlie Foster,LHP,R/L,6' 4'',205,So.,1L,"Snellville, Ga. / Brookwood HS"
Skip Ad
9,Ryder Woodson,INF,R/R,6' 3'',190,So.,TR,"Naples, Fla. / St. John Neumann HS / NC State"
10,Drew Wyers,INF,R/R,6' 2'',200,Sr.,TR,"Columbus, N.J. / Northern Burlington County Regional / Bryant"
11,Duke Stone,RHP,R/R,6' 5'',235,So.,1L,"Uvalda, Ga. / Jeff Davis HS"
12,Chone James,INF/UTL,R/R,6' 0'',185,So.,TR,"Myrtle Beach, S.C. / Socastee HS / Virginia"
13,William Kirk,LHP,L/L,6' 2'',205,R-Fr.,TR,"Saddle River, N.J. / Ramsey HS / Virginia"
14,Vytas Valincius,OF,L/R,6' 4'',230,Gr.,TR,"Lockport, Ill. / Baylor School [TN] / Illinois"
15,Tanner Beliveau,RHP/UTL,R/R,6' 3'',225,Fr.,HS,"Petal, Miss. / Petal HS"
16,Braden Booth,RHP,R/R,6' 2'',200,R-Fr.,RS,"Madison, Ala. / Bob Jones HS"
17,Parker Rhodes,RHP,R/R,6' 1'',185,Fr.,HS,"Greenfield, Ind. / Greenfield-Central HS"
18,Noah Sullivan,UTL/RHP,R/R,6' 1'',215,Gr.,1L,"Orlando, Fla. / Dr. Phillips HS / USC Upstate"
19,Andrew Raymond,C,L/R,6' 1'',205,So.,TR,"Middletown, Md. / Middletown HS / George Mason"
20,Maddox Miller,LHP,L/L,6' 4'',185,Fr.,HS,"Hattiesburg, Miss. / Oak Grove HS"
21,Kevin Milewski,C,R/R,6' 5'',235,Jr.,TR,"Wallingford, Conn. / Notre Dame-West Haven HS / Seton Hall"
22,Nick Frontino,INF,R/R,6' 3'',205,Fr.,HS,"Bonita Springs, Fla. / St. John Neumann HS"
23,Jackson Owen,C,R/R,5' 10'',200,Gr.,1L,"Starkville, Miss. / Starkville HS / Northeast Mississippi CC"
24,Jack Bauer,LHP,L/L,6' 4'',195,Fr.,HS,"Frankfort, Ill. / Lincoln Way East HS"
25,Chris Billingsley Jr.,RHP,R/R,6' 4'',205,Jr.,JC,"Brent, Ala. / Bibb County HS / East Central [Miss.] CC"
27,Peter Mershon,UTL,R/R,6' 2'',205,Fr.,HS,"Taylors, S.C. / Eastside HS"
28,Ryan McPherson,RHP,R/R,6' 3'',205,So.,1L,"Hollywood, Fla. / North Broward Prep"
29,Maddox Webb,RHP,R/R,6' 2'',195,Jr.,TR,"Summerville, S.C. / Summerville HS / The Citadel"
30,Jackson Logar,RHP,R/R,6' 0'',215,Jr.,TR,"Medford, N.J. / Shawnee HS / James Madison"
31,Charlie Wortham,UTL,R/R,6' 1'',205,Fr.,HS,"St. Peters, Mo. / De Smet Jesuit HS"
32,Peyton Fowler,RHP,R/R,6' 3'',195,Jr.,JC,"Gluckstadt, Miss. / Germantown HS / Meridian CC"
33,Blake Bevis,1B/OF,R/R,6' 4'',230,Sr.,TR,"Brentwood, Tenn. / Ravenwood HS / Ball State"
34,Gehrig Frei,INF/OF,S/R,6' 1'',210,Gr.,1L,"Alpharetta, Ga. / South Forsyth HS / North Alabama"
Skip Ad
35,Ben Davis,RHP,R/R,6' 4'',230,Sr.,1L,"Booneville, Miss. / Booneville HS / Itawamba CC"
36,Tyler Pitzer,RHP,L/R,6' 3'',205,Jr.,TR,"McDonald, Penn. / South Fayette Township HS / South Carolina"
37,Brendan Sweeney,RHP,R/R,6' 7'',210,Sr.,TR,"Edmond, Okla. / Edmond North HS / South Carolina"
38,Bryce Chance,OF,R/R,5' 10'',180,Gr.,3L,"Ridgeland, Miss. / Madison-Ridgeland Academy"
39,Patrick Spencer Jr.,RHP,R/R,6' 3'',215,R-So.,JC,"Greenville, Miss. / Washington School / Pearl River CC"
42,Jack Gleason,RHP,R/R,6' 1'',200,R-Fr.,RS,"Germantown, Tenn. / Briarcrest Christian HS"
45,Dane Burns,LHP,R/L,6' 5'',215,So.,1L,"Celina, Texas / Prosper HS"
47,JT Schnoor,RHP,R/R,6' 4'',225,R-Jr.,RS,"Pascagoula, Miss. / Resurrection Catholic School / Pearl River CC"
49,Gatlin Sanders,INF,L/R,5' 11'',185,Sr.,1L,"Madison, Miss. / Madison Central HS / Jones JC"
