Column1,Column2,Column3,...
1,Justin Nadeau,INF/OF,6' 0'',195,L/R,JR,"St. John's, Fla. / Bartram Trail (Jacksonville)"
2,Ty Evans,OF,6' 2'',215,R/R,SR,"Auburndale, Fla. / Lakeland Christian"
3,Kyle Jones,OF,6' 3'',185,R/R,SO,"Athens, Ga. / North Oconee (Stetson)"
4,Cade Kurland,INF,5' 11'',190,R/R,JR,"Tampa, Fla. / Berkeley Prep"
5,Blake Cyr,OF/INF,5' 11'',190,R/R,JR,"Windermere, Fla. / Windermere (Miami)"
6,Bobby Boser,INF/OF,6' 1'',215,R/R,SR,"Wesley Chapel, Fla. / Wiregrass Ranch (USF)"
8,Christian Rodriguez,RHP,6' 0'',210,R/R,RS FR,"Coral Springs, Fla. / Marjory Stoneman Douglas"
Skip Ad
9,Luke McNeillie,RHP,6' 3'',190,L/R,SO,"Milton, Ga. / Milton"
10,Colby Shelton,INF,6' 0'',205,L/R,JR,"Lexington, S.C. / Bloomingdale (Alabama)"
11,Brendan Lawson,INF,6' 3'',215,L/R,FR,"Toronto, Ontario / P27 Academy"
12,Liam Peterson,RHP,6' 5'',220,R/R,SO,"Palm Harbor, Fla. / Calvary Christian"
13,Landon Stripling,INF,6' 0'',200,L/R,SO,"Lawrenceville, Ga. / Parkview (Texas Tech)"
15,Joshua Whritenour,RHP,6' 2'',195,L/R,FR,"Tampa, Fla. / A3 Academy"
16,Hayden Yost,OF,6' 1'',195,L/L,SO,"Tampa, Fla. / Sickles"
17,Jacob Gomberg,LHP,5' 10'',180,L/L,SO,"Coral Springs, Fla. / Marjory Stoneman Douglas"
18,Pierce Coppola,LHP,6' 8'',245,L/L,RS JR,"Verona, N.J. / Verona"
20,Jake Clemente,RHP,6' 3'',225,R/R,RS SO,"Coral Springs, Fla. / Marjory Stoneman Douglas"
21,Caden McDonald,RHP/1B,6' 3'',200,R/R,RS FR,"Tampa, Fla. / Sickles"
22,Jackson Barberi,RHP,6' 4'',180,R/R,FR,"Snellville, Ga. / Brookwood"
23,Billy Barlow,RHP,6' 2'',220,R/R,RS JR,"North Myrtle Beach, S.C. / North Myrtle Beach (Clemson)"
24,Blake Brookins,OF,6' 5'',225,L/R,SO,"Palmetto Bay, Fla. / Miami Palmetto"
25,Kolt Myers,INF,6' 2'',190,R/R,FR,"St. Augustine, Fla. / St. John's Country Day"
26,Niko Janssens,LHP,6' 4'',200,L/L,FR,"Spring Hill, Fla. / A3 Academy"
27,Blaine Rowland,RHP,6' 3'',220,R/R,FR,"Plant City, Fla. / Durant"
28,Luke Heyman,C,6' 4'',220,R/R,JR,"Longwood, Fla. / Lake Brantley"
29,Brody Donay,C,6' 5'',235,R/R,JR,"Lakeland, Fla. / Lakeland Christian (Virginia Tech)"
30,Ashton Wilson,OF/INF,6' 0'',200,R/R,JR,"Orlando, Fla. / TNXL Academy (Charleston Southern)"
31,Frank Menendez,LHP,6' 1'',215,L/L,SO,"Miami, Fla. / Doral Academy Charter"
33,McCall Biemiller,LHP,6' 2'',180,B/L,FR,"Tampa, Fla. / Tampa Jesuit"
34,Alex Philpott,RHP,6' 6'',200,R/R,SO,"Tampa, Fla. / Strawberry Crest"
35,Brock Clayton,C/OF,6' 3'',210,L/R,FR,"Gulf Breeze, Fla. / Pensacola Catholic"
37,Matthew Jenkins,RHP,6' 6'',195,R/R,SO,"Live Oak, Fla. / Lafayette (Santa Fe College)"
Skip Ad
38,Mason Laurito,LHP,6' 0'',175,L/L,SO,"Ocala, Fla. / Forest (Gulf Coast CC)"
40,Cole Bullen,C,5' 9'',175,B/R,RS JR,"Belleview, Fla. / Villages Charter (College of Central Florida)"
44,Felix Ong,RHP,6' 4'',220,R/R,FR,"Key West, Fla. / Key West"
45,Schuyler Sandford,RHP,6' 6'',215,R/R,FR,"Jacksonville, Fla. / St. John's Country Day"
47,Aidan King,RHP,6' 2'',195,L/R,FR,"Jacksonville, Fla. / Bishop John J. Snyder"
99,Carson Montsdeoca,RHP,6' 3'',205,R/R,FR,"Bowling Green, Fla. / Fort Meade"
,Kevin O'Sullivan,Head Coach,baseballmail@gators.ufl.edu,4457
,Chuck Jeroloman,Associate Head Coach,baseballmail@gators.ufl.edu,4457
,Taylor Black,Assistant Coach,baseballmail@gators.ufl.edu,4457
,David Kopp,Pitching Coach,baseballmail@gators.ufl.edu,4457
,Michael Byrne,Student Assistant Coach,,
,Mike Rivera,Director of Player Development,,
,Shawn Burke,Strength and Conditioning Coordinator,ShawnB@gators.ufl.edu,4959
,Buddy Munroe,Director of Baseball Operations,BuddyM@gators.ufl.edu,4457
,Edmund Boyd,"Assistant Director, Lemerand Equipment",edmundb@gators.ufl.edu,4310
,Ann Hughes,"Assistant Director, Student Services",annh@gators.ufl.edu,5836
,Zach Cronin,Director of Player Personnel & Scouting,ZachC@gators.ufl.edu,4426
,Jarrett Schweim,Athletic Trainer,JarrettS@gators.ufl.edu,5104
,Orlando Prescott,Program Assistant,OrlandoP@gators.ufl.edu,4459
,Lindsay  Birchfield,Intern Athletic Trainer,LindsayB@gators.ufl.edu,
