Column1,Column2,Column3,...
1,Hunter Teplanszky,INF,S/R,6' 3'',188,Sr.,3rd Year,"Flower Mound, Texas / Marcus HS",TCU,
2,Gavin Brzozowski,1B/OF,L/L,6' 1'',198,R-So.,3rd Year,"Mansfield, Texas / Mansfield HS",Northeast Texas CC,
3,Enzo Apodaca,OF,L/L,5' 9'',194,R-Sr.,2nd Year,"Scottsdale, Ariz. / Chaparral HS",Gonzaga,
4,JJ Kennett,C,R/R,5' 10'',174,So.,1st Year,"Mandeville, La. / Ridge Point HS",Dallas Baptist,
5,Pearson Riebock,INF,L/R,6' 0'',181,Fr.,1st Year,"Rockwall, Texas / Rockwall HS",,
6,Travis Sanders,INF,R/R,6' 1'',186,R-So.,1st Year,"Copperas Cove, Texas / Copperas Cove HS",Texas Tech,
9,Hunter Simmons,1B/OF,R/R,5' 11'',229,R-Sr.,3rd Year,"Mansfield, Texas / Mansfield HS",Howard College,
Skip Ad
10,Brayden Bergman,RHP,R/R,6' 1'',200,Fr.,1st Year,"Parker, Texas / Plano East HS",,
11,Will Pendergrass,INF,R/R,6' 2'',211,R-Sr.,3rd Year,"Missouri City, Texas / Ridge Point HS",Cisco CC,
12,Mason Green,LHP,R/L,6' 2'',218,So.,2nd Year,"Cypress, Texas / Cy Woods HS",,
13,Tyriq Kemp,INF,L/R,5' 7'',156,Sr.,2nd Year,"Rotterdam, The Netherlands",Western Oklahoma CC,
14,Samuel Jenkins,OF,L/R,6' 2'',220,Fr.,1st Year,"Dallas, Texas / Trinity Christian Academy",,
15,Brayden Buchanan,C,R/R,6' 1'',229,So.,2nd Year,"Austin, Texas / Vandegrift HS",,
16,Hunter Snow,OF,L/R,6' 2'',204,Fr.,1st Year,"Carmel, Ind. / Carmel HS",,
18,Andrew Petrowski,RHP,R/R,6' 1'',223,R-Sr.,3rd Year,"San Antonio, Texas / Clark HS",San Jacinto CC,
19,Cortlan Castle,C,R/R,5' 11'',200,Sr.,4th Year,"Woodway, Texas / Midway HS",,
20,Brytton Clements,INF,R/R,6' 1'',185,Fr.,1st Year,"Laredo, Texas / Alexander HS",,
22,Jack Little,INF,R/R,6' 1'',211,R-So.,2nd Year,"Katy, Texas / Obra D. Tompkins HS",Wichita State,
23,Ty Johnson,OF,L/R,6' 0'',188,Sr.,2nd Year,"Flower Mound, Texas / Marcus HS",McLennan CC,
26,Jack Hickerson,RHP,R/R,6' 3'',179,Fr.,1st Year,"Corinth, Texas / Guyer HS",,
28,Brett White,INF,L/R,6' 1'',210,Fr.,1st Year,"North Liberty, Iowa / Solon HS",,
