Column1,Column2,Column3,...
2,Sawyer Reeves,INF,R/R,6' 3'',205,Sr.,Sr.,"Lugoff, S.C. / Lugoff Elgin HS / The Citadel"
3,Ace Reese,INF,L/R,6' 3'',205,So.,So.,"Canton, Texas / Canton HS / Houston"
5,Aaron Downs,INF/OF,R/R,6' 0'',210,Sr.,Sr.,"Pella, Iowa / Heritage Academy"
6,Landis Davila,OF,L/R,6' 3'',200,Fr.,Fr.,"Farragut, Tenn. / Farragut HS"
7,Reed Stallman,INF,L/R,6' 3'',220,Sr.,Sr.,"Robins, Iowa / Alburnett HS / Campbell"
8,Charlie Foster,LHP,R/L,6' 3'',190,Fr.,Fr.,"Snellville, Ga. / Brookwood HS"
9,Pico Kohn,LHP,L/L,6' 4'',200,Sr.,Jr.,"Verbena, Ala. / Chilton County HS"
Skip Ad
10,Dylan Cupp,INF,R/R,6' 1'',200,So.,So.,"Cedartown, Ga. / Cedartown HS"
11,Duke Stone,RHP,R/R,6' 5'',225,Fr.,Fr.,"Uvalda, Ga. / Jeff Davis HS"
12,Evan Siary,RHP,R/R,6' 1'',205,Jr.,Jr.,"Columbus, Miss. / Starkville Academy"
13,Nate Chester,INF,R/R,6' 2'',190,Sr.,Sr.,"Kansas City, Mo. / Liberty North HS / John A. Logan CC"
14,Cade O'Leary,RHP,R/R,6' 4'',190,Fr.,Fr.,"Knoxville, Tenn. / Farragut HS"
15,Luke Dotson,LHP,L/L,6' 4'',210,So.,So.,"Marietta, Ga. / Mount Paran Christian School"
16,Braden Booth,INF/RHP,R/R,6' 2'',200,Fr.,Fr.,"Madison, Ala. / Bob Jones HS"
17,Stone Simmons,RHP,R/R,6' 4'',235,Gr.,Sr.,"Houston, Texas / The Kinkaid School / Furman"
18,Noah Sullivan,DH/RHP,R/R,6' 1'',225,Sr.,Jr.,"Orlando, Fla. / Dr. Phillips HS / USC Upstate"
19,Robert Fortenberry,LHP,L/L,6' 0'',220,Jr.,Jr.,"Frisco, Texas / Wakeland HS / Weatherford College"
22,Ross Highfill,C,R/R,6' 0'',200,Jr.,So.,"Madison, Miss. / Madison Central HS"
23,Jackson Owen,C,R/R,5' 10'',200,Sr.,Jr.,"Starkville, Miss. / Starkville HS / Northeast Mississippi CC"
25,Bradley Loftin,LHP,L/L,6' 3'',200,Jr.,Jr.,"Southaven, Miss. / DeSoto Central HS"
26,Chase Hungate,RHP,L/R,6' 1'',175,Sr.,Sr.,"Abingdon, Va. / Abingdon HS / Virginia"
27,Gavin Black,RHP,L/R,6' 0'',195,Jr.,Jr..,"Bogart, Ga. / North Oconee HS / NW Florida State College"
28,Ryan McPherson,RHP,R/R,6' 3'',205,Fr.,Fr.,"Hollywood, Fla. / North Broward Prep"
29,Nate Williams,RHP,R/R,6' 4'',250,Sr.,Jr.,"Acworth, Ga. / North Cobb HS / Florence Darlington CC"
30,Jacob Pruitt,RHP,R/R,6' 1'',185,Jr.,Jr.,"Yorktown, Ind. / Yorktown HS / Indiana State"
31,Karson Ligon,RHP,R/R,6' 2'',205,Sr.,Sr.,"Sarasota, Fla. / River View HS / Miami (Fla.)"
32,Michael O'Brien,OF,L/L,6' 0'',185,So.,So.,"River Ridge, La. / John Curtis Christian"
34,Gehrig Frei,INF,S/R,6' 1'',200,Sr.,Jr.,"Alpharetta, Ga. / South Forsyth HS / North Alabama"
35,Ben Davis,RHP/C,R/R,6' 3'',215,Jr.,Jr.,"Booneville, Miss. / Booneville HS / Itawamba CC"
36,Nolan Stevens,INF/OF/LHP,L/L,6' 4'',210,So.,So.,"Elk Grove, Calif. / Franklin HS"
38,Bryce Chance,OF,R/R,5' 10'',180,Sr.,Jr..,"Ridgeland, Miss. / Madison-Ridgeland Academy"
42,Jack Gleason,RHP,R/R,6' 1'',180,Fr.,Fr.,"Germantown, Tenn. / Briarcrest Christian HS"
Skip Ad
43,Steven Spalitta,INF/C,L/R,6' 0'',185,So.,So.,"Mandeville, La. / Fontainbleau HS"
44,Hunter Hines,INF/OF,L/R,6' 3'',210,Sr.,Sr.,"Madison, Miss. / Madison Central HS"
45,Dane Burns,LHP,R/L,6' 5'',220,Fr.,Fr.,"Celina, Texas / Prosper HS"
47,JT Schnoor,RHP,R/R,6' 4'',215,Jr.,Jr.,"Pascagoula, Miss. / Resurrection Catholic School / Pearl River CC"
48,Kevin Mannell,RHP,R/R,6' 4'',210,Jr.,Jr.,"Topeka, Kan. / Seaman HS / Kansas State / Cloud County CC"
49,Gatlin Sanders,INF/OF,L/R,5' 11'',175,Jr.,Jr.,"Madison, Miss. / Madison Central HS / Jones JC"
52,Lukas Buckner,INF,L/R,5' 9'',170,Fr.,Fr.,"Knoxville, Tenn. / Farragut HS"
55,Joe Powell,C,R/R,5' 10'',185,Gr.,Sr.,"Mason, Ohio / Mason HS"
