Column1,Column2,Column3,...
1,Maddox Keo,LHP,L-L,5' 9'',160,Fr.,,"Willis, Texas / Willis",,Will Rice
2,Cole Green,INF,R-R,6' 0'',175,Fr.,,"Indian Trail, North Carolina / Sun Valley",,Will Rice
3,Max Johnson,INF,R-R,6' 1'',192,Sr.,,"Mason, Ohio / Mason",Indiana,Wiess
4,Blaine Brown,LHP/OF,L-L,6' 3'',180,Fr.,,"Pearland, Texas / Shadow Creek",,Duncan
6,Treyton Rank,INF/OF,R-R,6' 0'',210,Sr.,,"Buford, Georgia / Buford/",Florida State,McMurtry
7,Michael Zito,INF,R-R,6' 1'',192,Fr.,,"Milton, Georgia / Blessed Trinity Academy",,Jones
9,Trey Duffield,OF,R-R,6' 3'',229,Jr.,,"Houston, Texas / Strake Jesuit",,Wiess
Skip Ad
10,Colin Robson,OF,L-R,6' 2'',185,R-Fr.,,"Souithlake, Texas / Southlake Carroll",Duke,Hanszen
11,Austin Eppley,RHP/UT,L-R,6' 1'',207,Jr.,,"Jacksonville, Florida / Episcopal",College of Central Florida,Baker
12,Jack Ben-Shoshan,RHP,R-R,6' 0'',200,Sr.,,"Houston, Texas / St. John's",,Lovett
13,Reed Gallant,RHP,R-R,6' 1'',193,Gr.,,"Flower Mound, Texas / Marcus H.S.",,Brown
14,Paul Smith,C,S-R,5' 11'',218,Jr.,,"Houston, Texas / Episcopal",,Duncan
15,Luke Smith,INF,R-R,5' 9'',188,Jr.,,"Corpus Christi, Texas / Callallen",Ciso,Duncan
16,Garrett Stratton,RHP,R-R,6' 2'',198,Jr.,,"Houston, Texas / Strake Jesuit",,Baker
17,Graiden West,INF,R-R,6' 3'',185,Sr.,,"Katy, Texas / Tompkins",,Will Rice
19,Aric Anderson,C,L-R,6' 0'',205,Jr.,,"Las Vegas, Nevada / Palo Verde",Chandler-Gilbert CC,Jones
20,Gunnett Carlson,INF,L-R,5' 10'',208,Jr.,,"Tampa, Florida / Berkely Prep",College of Central Florida,Wiess
21,Tobias Motley,INF/OF,R-R,6' 2'',201,So.,,"Houston, Texas / Cy Ranch",,Lovett
23,Javier Vazquez,INF,R-R,6' 1'',195,R-Fr.,,"Ponce, Puerto Rico / IMG Academy",,Duncan
24,Jacob Devenny,OF,L-R,5' 11'',200,Jr.,,"Prosper, Texas / Prosper",,Wiess
26,Ethan Atchley,RHP,R-R,6' 0'',180,Fr.,,"Heath, Texas / Rockwall",,Sid Richardson
27,Barrett Eldridge,INF,R-R,6' 3'',212,Jr.,,"Atlanta, Georgia / Walton",Georgia Highlands,Brown
28,Landon West,C,R-R,6' 3'',213,So.,,"Katy, Texas / Tompkins",,Brown
29,J.D. McCracken,LHP,L-L,6' 3'',211,Sr.,,"Murfreesboro, Tennessee /",Tennessee,Baker
31,Marco Fuentes,RHP,R-R,6' 2'',210,R-Jr.,,"Miami, Florida / Belen Jesuit",,Baker
32,Mark Perkins,RHP,R-R,6' 1'',207,Sr.,,"Houston, Texas / Stratford",,Sid Richardson
33,Nolan Roycraft,LHP,L-L,6' 5'',226,Fr.,,"The Woodlands, Texas / The Woodlands",,Jones
34,Micah Davis,RHP,R-R,6' 3'',226,Sr.,,"Baytown, Texas / home school",,McMurtry
36,Tom Vincent,LHP,L-L,6' 3'',237,R-Sr.,,"Houston, Texas / Memorial",Texas A&M,Martel
38,Davion Hickson,RHP,R-R,6' 2'',208,Jr.,,"Palmetto, Florida / IMG Academy",Florida State,Will Rice
39,Matthew Rheaume,RHP,R-R,6' 5'',221,R-Jr.,,"Houston, Texas / Memorial",Weatherford College,Baker
40,Von Baker,RHP,R-R,6' 6'',232,Gr.,,"St. Johnsonville, New York / OESJ",Cornell,GSA
Skip Ad
44,Lorenzo Rios,C,R-R,6' 2'',205,Jr.,,"Yorkville, Illinois / Yorkville",Northwestern,Hanszen
47,Tucker Alch,RHP,R-R,6' 5'',217,Gr.,,"Houston, Texas / St. Thomas",Catholic University,GSA
48,Hiram Bocachica Jr.,INF,R-R,5' 7'',155,Fr.,,"Bayamón, Puerto Rico / Puerto Rico Baseball Academy",,Duncan
53,Robert Fernandez,RHP,R-R,6' 0'',214,Sr.,,"Miami, Florida / Belen Jesuit",Miami Dade,Lovett
54,Caleb Williams,RHP,R-R,6' 2'',208,R-Fr.,,"Bethlehem, North Carolina / Alexander Central",,McMurtr
55,Jackson Blank,RHP,R-R,6' 2'',208,So.,,"Magnolia, Texas / West",,"Brown,"
99,Matt Zatopek,RHP,R-R,6' 3'',210,Fr.,,"Cypress, Texas / Houston Christian",Texas,Brown
,David Pierce,Bixby Family Head Baseball Coach,Baseball@rice.edu,
,Parker Bangs,Pitching Coach,parker.bangs@rice.edu,
,DC  Arendas,Assistant Coach,dc.arendas@rice.edu,
,Justin  Aspegren,Assistant Coach,Baseball@rice.edu,
,Lance  Berkman,Volunteer Coach,Baseball@rice.edu,
,Ryan Abel,Director of Operations,,
,Mikey  Hoehner,Director of Recruiting and Player Development,mikey.hoehner@rice.edu,
,Nikki  Carvino,Assistant Athletic Trainer (Baseball),nikki.carvino@rice.edu,
,Ryan  McNerlin,Assistant Strength and Conditioning Coach--Baseball,ryan.mcnerlin@rice.edu,
,Jacob Hahn,Analytics Coordinator,,
,Charlie  Bridgewater,Student Manager,,
,Adam  DesRoches,Student Manager,,
,Tanner Holland,Student Manager,,
