Column1,Column2,Column3,...
1,Alex Madera,INF,L/R,5' 10'',179,Gr.,"Delran, N.J. / Delran",Arcadia,
2,Reece Holbrook,OF,L/R,5' 11'',181,R-Jr.,"Mt. Pleasant, S.C. / Hammond",,Exercise And Sport Science
3,Lee Sowers,INF,L/R,5' 10'',185,Fr.,"Glen Allen, Va. / Freeman",,
4,Sawyer Black,OF,L/R,6' 1'',194,Fr.,"Oak Ridge, N.C. / Wesleyan Christian Academy",,
5,Gavin Gallaher,INF,R/R,6' 1'',191,So.,"Apex, N.C. / Pro5",,
6,Jackson Van De Brake,INF,R/R,6' 1'',202,Sr.,"Yakima, Wash. / West Valley",Tacoma Community College,Exercise and Sport Science
7,Perry Hargett,OF,R/R,6' 0'',187,Fr.,"Peachland, N.C. / Metrolina Christian Academy",,
Skip Ad
8,Boaz Harper,INF,S/R,5' 11'',175,Fr.,"Angier, N.C. / Grace Christian Academy",,
10,Tom Chmielewski,LHP,L/L,6' 2'',210,Gr.,"Needham, Mass. / Needham",Princeton,
11,Tyson Bass,OF,R/R,6' 3'',211,Gr.,"Lucama, N.C. / Hunt",North Carolina Wesleyan,
12,Macaddin Dye,C,R/R,6' 1'',215,So.,"Virginia Beach, Va. / Frank W. Cox",Liberty,
14,Parker McCoy,INF,R/R,6' 1'',205,Fr.,"Pembroke, Ga. / Benedictine Military Academy",,
15,Cameron Padgett,RHP,R/R,6' 3'',195,Jr.,"Salisbury, N.C. / East Rowan",,Communications
17,Boston Flannery,RHP,R/R,6' 4'',230,So.,"New City, N.Y. / Brunswick",,
18,Carter French,OF,L/L,6' 2'',196,Jr.,"Tampa, Fla. / Jesuit",,Biology
19,Camron Seagraves,RHP,R/R,6' 3'',179,Fr.,"Ellerbe, N.C. / Grace Christian Academy",,
20,Alex Ferrell,INF,R/R,6' 2'',209,Fr.,"Mount Olive, N.C. / Southern Wayne",,
23,Sam Angelo,INF,L/L,6' 0'',225,Gr.,"Toms River, N.J. / Toms River North",Montclair State,
24,Matthew Matthijs,RHP,R/R,6' 2'',230,Jr.,"Greenville, N.C. / D.H. Conley",,Business Administration
25,Rom Kellis V,OF/C,R/R,6' 1'',203,Jr.,"Gilbert, S.C. / P27 Academy",Florence Darlington,
26,Kyle Percival,LHP,R/L,6' 5'',220,Jr.,"Lancaster, S.C. / Andrew Jackson",,Exercise and Sport Science
27,Kane Kepley,OF,L/L,5' 8'',180,Jr.,"Salisbury, N.C. / South Rowan",Liberty,
28,Riley Leatherman,RHP,R/R,6' 2'',180,Fr.,"Maple Grove, Minn. / Wayzata",,
29,Jason DeCaro,RHP,R/R,6' 5'',230,So.,"North Port, N.Y. / St. Anthony's",,
31,Olin Johnson,RHP,R/R,6' 6'',230,So.,"Bellingham, Wash. / McCallie (Tenn.)",,
35,Francesco Capocci,RHP,R/R,6' 4'',221,So.,"Cumming, Ga. / Denmark",,Communication Studies
36,Folger Boaz,LHP,L/L,6' 2'',212,So.,"Pilot Mountain, N.C. / East Surry",,Communication Studies
