Column1,Column2,Column3,...
1,Jeff Lougee,L/R,INF,6' 0'',185,Fr.,"Mechanicsburg, Pa. / Mechanicsburg Area"
2,Andrew Healy,L/L,LHP,6' 6'',200,Jr.,"Glen Mills, Pa. / William Penn Charter"
3,Andrew Yu,R/R,C,6' 0'',220,Sr.,"Nashville, Tenn. / Ensworth"
4,Gabe Nard,R/R,RHP,5' 11'',190,Jr.,"Shaker Heights, Ohio / St. Ignatius"
5,Kyle Johnson,R/L,OF/LHP,6' 1'',205,So.,"Leesburg, Va. / Riverside"
6,Macon Winslow,R/R,C,6' 0'',200,So.,"Hertford, N.C. / Perquimans County"
7,Wallace Clark,S/R,INF,6' 0'',195,Sr.,"Tulsa, Okla. / Oklahoma"
Skip Ad
8,Ben Rounds,L/R,OF,6' 1'',200,Gr.,"Milton, Mass. / Harvard"
9,Owen Proksch,S/L,LHP,6' 3'',225,Jr.,"Southlake, Texas / Carroll Senior"
10,Aidan Weaver,R/R,RHP,6' 5'',230,Jr.,"Jamison, Pa. / Central Bucks-East"
11,Edward Hart,L/L,LHP,6' 5'',235,Jr.,"San Antonio, Texas / Alamo Heights"
12,Henry Zatkowski,L/L,LHP,6' 2'',190,Fr.,"Clarksville, Md. / River Hill"
13,Andrew Bell,R/R,INF,6' 1'',195,Fr.,"Denver, Colo. / Regis Jesuit"
15,Trevor Johnson,L/R,OF,6' 2'',205,Fr.,"Bellefonte, Pa. / Bellefonte Area"
16,Jake Hyde,L/R,INF/OF,6' 4'',205,Gr.,"Darien, Conn. / Georgetown"
17,James Tallon,L/L,LHP,6' 5'',195,Jr.,"Arlington, Va. / Yorktown"
18,Sam Harris,L/L,1B/OF,6' 5'',220,So.,"Urbandale, Iowa / Urbandale"
19,Mark Hindy,L/L,LHP,6' 4'',220,Gr.,"Essex Fells, N.J. / William & Mary"
20,Adam Troch,L/L,OF,6' 0'',175,Fr.,"Bethesda, Md. / St. Johns College"
22,Nick DiPietrantonio,R/R,INF,6' 3'',210,Gr.,"Manalapan, N.J. / Princeton"
23,Jake Berger,L/R,INF,6' 3'',195,Gr.,"Boston, Mass. / Harvard"
24,Reid Easterly,L/L,LHP,6' 0'',200,Gr.,"Katy, Texas / Yale"
25,Jay Slater,R/R,C,6' 0'',198,Fr.,"Downingtown, Pa. / Downingtown West Campus"
26,Kael Gahan,L/L,LHP,6' 2'',185,Fr.,"Oxford, Mich. / Lake Orion Community"
27,Ryan Higgins,R/R,RHP,6' 2'',210,Sr.,"New Canaan, Conn. / St. Luke's"
29,AJ Gracia,L/L,OF,6' 3'',195,So.,"Monroe, N.J. / Ranney"
31,Ryan Calvert,R/R,RHP,6' 5'',240,Gr.,"La Plata, Md. / UNCW"
33,Roman DiGiacomo,R/R,C/RHP,6' 3'',220,Jr.,"Fairfield, Conn. / Fairfield Warde"
34,Ben Miller,R/R,INF,6' 1'',225,Gr.,"Durham, N.C. / Penn"
35,David Boisvert,R/R,RHP,6' 5'',215,Sr.,"Charlotte, N.C. / Cannon School"
36,Noah Murray,R/R,INF,5' 10'',170,So.,"Crozet, Va. / Pro5 Baseball Academy"
37,Jack Feehery,L/L,LHP,6' 0'',175,Fr.,"Washington, D.C. / Gonzaga College"
Skip Ad
38,Zach Jackson,L/R,OF,6' 1'',170,Fr.,"Smyrna, Ga. / Holy Innocents Episcopal"
40,Tyler Albright,R/L,OF,6' 0'',200,Jr.,"Greensboro, N.C. / Grimsley"
41,Harley Goodner,R/R,INF,6' 1'',198,Fr.,"Rye, New York / Greenwich Country Day"
43,Marcello Mastroianni,L/L,LHP,6' 3'',195,So.,"Little Silver, N.J. / Georgetown"
44,Jack Hedrick,R/R,RHP,6' 5'',205,Fr.,"Charlotte, N.C. / Charlotte Catholic"
45,Jimmy Evans,L/L,OF,5' 9'',180,Gr.,"Norwalk, Conn. / Tufts University"
46,Gavin Brown,L/L,LHP,6' 5'',195,Gr.,"Plano, Texas / Tufts University"
47,Collins Black,R/R,RHP,6' 2'',200,Fr.,"Cary, N.C. / Cary"
49,James Raidt,R/R,RHP,6' 3'',180,So.,"Stamford, Conn. / King & Low-Heywood Thomas School"
50,Bryce Brannon,R/R,RHP,6' 3'',200,Fr.,"Mason, Ohio / William Mason"
51,Max Stammel,L/L,LHP,6' 3'',190,Fr.,"Dallas, Texas / Highland Park"
,Chris Pollard,Head Coach,christopher.pollard@duke.edu,
,Brady Kirkpatrick,Associate Head Coach/Pitching Coach,brady.kirkpatrick@duke.edu,
,Eric Tyler,Hitting Coach/Recruiting Coordinator,eric.tyler@duke.edu,
,Derek Simmons,Infielders/Recruiting Coordinator,derek.simmons@duke.edu,
,Brian Sakowski,"Director of Recruiting, Analytics and Player Development",brian.sakowski@duke.edu,
,John Natoli,Director of Baseball Operations/Pitching Development,john.natoli@duke.edu,
